"","Mk.12.23","Mk.12.26","Mk.12.34","Mk.12.36","Mk.12.41","Mk.13.2","Mk.13.8","Mk.13.33","Mk.14.5","Mk.14.24","Mk.14.25","Mk.14.30","Mk.14.39","Mk.14.41","Mk.14.65.1","Mk.14.65.2","Mk.14.68","Mk.14.72.1","Mk.14.72.2","Mk.14.72.3","Mk.15.8","Mk.15.12.1","Mk.15.12.2","Mk.15.27","Mk.15.34","Mk.15.39","Mk.15.44","Mk.16.1","Mk.16.2","Mk.16.8","Mk.16.8.A","Mk.16.8.B","Mk.16.14.15","Mk.16.17","Mk.16.18","Mk.16.19","Mk.16.20"
"UBS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"P45",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01",4,1,2,2,1,1,1,2,1,1,2,2,1,1,1,1,2,3,3,2,1,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"01-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-2",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02",2,1,1,2,2,2,4,2,1,4,1,1,1,1,1,1,1,1,2,2,2,1,3,1,2,3,1,1,1,5,NA,NA,1,1,2,3,1
"02-c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
