"","ATL","PEK","ORD","LHR","LAX","DFW","CDG","HND","DEN","FRA","BKK","DXB","HKG","MAD","JFK","CGK","PHX","SIN","CAN","AMS","LAS","IAH","CLT","MCO","PVG","MIA","KUL","SFO","SYD","MUC"
"ATL",0,10028,975,6450,3095,1173,6703,9721,1919,6999,11653,10428,11114,6622,1220,12329,2532,12126,11079,6711,2783,1107,365,651,10482,959,12092,3394,11749,7244
"PEK",10028,0,9396,7609,9034,9812,7639,2084,9142,7315,3264,5644,1984,8427,9672,5093,9312,4398,1898,7346,9030,10039,9975,10408,1099,10584,4326,8642,8246,7259
"ORD",975,9396,0,6086,2781,1289,6366,9095,1424,6629,11231,10090,10605,6437,1186,12047,2302,11790,10564,6320,2418,1488,964,1616,9900,1924,11751,2938,11718,6884
"LHR",6450,7609,6086,0,8088,7181,348,8713,7073,653,8682,5330,8741,1246,5368,10140,7856,9609,8656,370,7802,7294,6144,6626,8454,6748,9425,7976,12395,942
"LAX",3095,9034,2781,8088,0,1976,8351,8129,1383,8514,11006,11067,10105,8564,3911,11549,595,11397,10089,8239,381,2205,3373,3516,9296,3710,11425,543,10342,8732
"DFW",1173,9812,1289,7181,1976,0,7441,9270,1031,7693,11563,10820,10890,7466,2224,12167,1391,11992,10862,7405,1690,363,1500,1578,10192,1797,11984,2339,11263,7930
"CDG",6703,7639,6366,348,8351,7441,0,8798,7351,447,8587,5094,8712,1063,5634,10034,8120,9504,8627,399,8071,7545,6398,6858,8474,6969,9314,8244,12377,682
"HND",9721,2084,9095,8713,8129,9270,8798,0,8534,8545,4488,7434,2879,9534,9605,5589,8511,5149,2876,8511,8204,9506,9743,10126,1732,10306,5195,7717,7339,8542
"DEN",1919,9142,1424,7073,1383,1031,7351,8534,0,7557,11110,10584,10323,7522,2592,11821,968,11605,10293,7260,1009,1385,2139,2470,9542,2728,11598,1549,11088,7797
"FRA",6999,7315,6629,653,8514,7693,447,8545,7557,0,8252,4731,8390,1418,5949,9757,8311,9203,8302,366,8244,7808,6704,7175,8166,7293,9007,8384,12263,301
"BKK",11653,3264,11231,8682,11006,11563,8587,4488,11110,8252,0,4764,1682,9123,11316,2314,11220,1441,1680,8408,11020,11710,11591,11884,2866,11988,1245,10724,7113,8097
"DXB",10428,5644,10090,5330,11067,10820,5094,7434,10584,4731,4764,0,5711,5467,9687,6265,11044,5645,5631,5030,10926,10927,10230,10570,6179,10651,5377,10873,10332,4468
"HKG",11114,1984,10605,8741,10105,10890,8712,2879,10323,8390,1682,5711,0,9359,10847,3225,10386,2548,117,8479,10142,11073,11081,11415,1254,11550,2526,9770,6989,8287
"MAD",6622,8427,6437,1246,8564,7466,1063,9534,7522,1418,9123,5467,9359,0,5570,10397,8277,9930,9280,1458,8280,7520,6309,6679,9197,6747,9744,8522,12531,1494
"JFK",1220,9672,1186,5368,3911,2224,5634,9605,2592,5949,11316,9687,10847,5570,0,12172,3417,11897,10800,5646,3562,2267,870,1519,10231,1752,11835,4079,12122,6207
"CGK",12329,5093,12047,10140,11549,12167,10034,5589,11821,9757,2314,6265,3225,10397,12172,0,11774,884,3300,9913,11618,12265,12314,12477,4358,12537,1129,11334,5349,9605
"PHX",2532,9312,2302,7856,595,1391,8120,8511,968,8311,11220,11044,10386,8277,3417,11774,0,11618,10366,8030,411,1617,2826,2942,9609,3137,11636,1045,10625,8535
"SIN",12126,4398,11790,9609,11397,11992,9504,5149,11605,9203,1441,5645,2548,9930,11897,884,11618,0,2607,9363,11445,12109,12092,12305,3750,12381,297,11155,6044,9047
"CAN",11079,1898,10564,8656,10089,10862,8627,2876,10293,8302,1680,5631,117,9280,10800,3300,10366,2607,0,8392,10122,11047,11042,11382,1221,11518,2573,9751,7086,8198
"AMS",6711,7346,6320,370,8239,7405,399,8511,7260,366,8408,5030,8479,1458,5646,9913,8030,9363,8392,0,7961,7527,6413,6902,8205,7029,9173,8108,12306,665
"LAS",2783,9030,2418,7802,381,1690,8071,8204,1009,8244,11020,10926,10142,8280,3562,11618,411,11445,10122,7961,0,1956,3048,3240,9334,3452,11463,665,10556,8468
"IAH",1107,10039,1488,7294,2205,363,7545,9506,1385,7808,11710,10927,11073,7520,2267,12265,1617,12109,11047,7527,1956,0,1464,1369,10404,1546,12102,2609,11276,8042
"CLT",365,9975,964,6144,3373,1500,6398,9743,2139,6704,11591,10230,11081,6309,870,12314,2826,12092,11042,6413,3048,1464,0,755,10459,1048,12050,3637,11882,6952
"MCO",651,10408,1616,6626,3516,1578,6858,10126,2470,7175,11884,10570,11415,6679,1519,12477,2942,12305,11382,6902,3240,1369,755,0,10837,311,12273,3867,11785,7410
"PVG",10482,1099,9900,8454,9296,10192,8474,1732,9542,8166,2866,6179,1254,9197,10231,4358,9609,3750,1221,8205,9334,10404,10459,10837,0,10998,3741,8920,7377,8103
"MIA",959,10584,1924,6748,3710,1797,6969,10306,2728,7293,11988,10651,11550,6747,1752,12537,3137,12381,11518,7029,3452,1546,1048,311,10998,0,12351,4081,11779,7522
"KUL",12092,4326,11751,9425,11425,11984,9314,5195,11598,9007,1245,5377,2526,9744,11835,1129,11636,297,2573,9173,11463,12102,12050,12273,3741,12351,0,11181,6298,8845
"SFO",3394,8642,2938,7976,543,2339,8244,7717,1549,8384,10724,10873,9770,8522,4079,11334,1045,11155,9751,8108,665,2609,3637,3867,8920,4081,11181,0,10277,8600
"SYD",11749,8246,11718,12395,10342,11263,12377,7339,11088,12263,7113,10332,6989,12531,12122,5349,10625,6044,7086,12306,10556,11276,11882,11785,7377,11779,6298,10277,0,12211
"MUC",7244,7259,6884,942,8732,7930,682,8542,7797,301,8097,4468,8287,1494,6207,9605,8535,9047,8198,665,8468,8042,6952,7410,8103,7522,8845,8600,12211,0
