"","UBS","01","02","03","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-l","it-q","it-r-1","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"UBS",0,0.424,0.571,0.286,0.543,0.371,0.571,0.457,0.457,0.714,0.629,0.629,0.576,0.6,0.571,0.686,0.529,0.6,0.588,0.571,0.457,0.571,0.6,0.571,0.571,0.571,0.531,0.429,0.6,0.559,0.258,0.588,0.571,0.6,0.6,0.571,0.606,0.567,0.594,0.606,0.606,0.515,0.559,0.613,0.5,0.576,0.529,0.647,0.577,0.485,0.533,0.581,0.667,0.48,0.414,0.645,0.516,0.652,0.562
"01",0.424,0,0.606,0.182,0.727,0.242,0.727,0.303,0.667,0.727,0.697,0.697,0.548,0.636,0.606,0.727,0.719,0.545,0.656,0.667,0.333,0.606,0.636,0.606,0.576,0.606,0.6,0.303,0.606,0.594,0.276,0.625,0.606,0.606,0.636,0.606,0.71,0.586,0.767,0.548,0.71,0.677,0.719,0.586,0.719,0.742,0.438,0.656,0.68,0.419,0.552,0.6,0.731,0.25,0.214,0.724,0.483,0.667,0.6
"02",0.571,0.606,0,0.629,0.714,0.571,0.543,0.629,0.571,0.486,0.229,0.543,0.303,0.057,0.057,0.457,0.559,0.257,0.088,0.457,0.343,0.029,0.057,0.114,0.171,0,0.062,0.343,0.229,0.029,0.581,0.029,0.029,0.029,0.057,0.029,0.121,0.033,0.531,0.364,0.697,0.455,0.676,0.323,0.618,0.636,0.324,0.441,0.538,0.273,0.2,0.065,0.63,0.52,0.517,0.516,0.258,0.478,0.094
"03",0.286,0.182,0.629,0,0.714,0.257,0.743,0.314,0.686,0.8,0.743,0.743,0.515,0.657,0.629,0.8,0.735,0.543,0.647,0.714,0.343,0.629,0.657,0.629,0.571,0.629,0.594,0.314,0.6,0.618,0.097,0.647,0.629,0.629,0.657,0.629,0.697,0.633,0.75,0.667,0.788,0.667,0.706,0.645,0.706,0.788,0.588,0.735,0.769,0.545,0.567,0.645,0.815,0.36,0.241,0.742,0.548,0.652,0.594
"05",0.543,0.727,0.714,0.714,0,0.714,0.629,0.743,0.429,0.629,0.714,0.6,0.667,0.714,0.686,0.657,0.382,0.714,0.676,0.429,0.686,0.714,0.714,0.743,0.743,0.714,0.688,0.686,0.714,0.706,0.774,0.706,0.714,0.743,0.743,0.714,0.727,0.7,0.375,0.545,0.242,0.455,0.235,0.613,0.265,0.273,0.588,0.412,0.231,0.606,0.633,0.677,0.63,0.72,0.724,0.516,0.645,0.696,0.688
"019",0.371,0.242,0.571,0.257,0.714,0,0.771,0.171,0.543,0.714,0.686,0.629,0.485,0.6,0.571,0.714,0.618,0.429,0.618,0.629,0.314,0.571,0.6,0.543,0.514,0.571,0.562,0.343,0.514,0.559,0.355,0.588,0.571,0.543,0.6,0.571,0.667,0.533,0.719,0.697,0.788,0.697,0.706,0.677,0.706,0.727,0.618,0.735,0.731,0.576,0.633,0.645,0.667,0.48,0.241,0.677,0.484,0.652,0.562
"032",0.571,0.727,0.543,0.743,0.629,0.771,0,0.8,0.543,0.486,0.514,0.571,0.758,0.6,0.6,0.486,0.559,0.714,0.618,0.686,0.686,0.571,0.6,0.571,0.571,0.543,0.562,0.743,0.571,0.559,0.677,0.588,0.571,0.571,0.543,0.571,0.606,0.567,0.594,0.606,0.576,0.606,0.647,0.548,0.618,0.636,0.559,0.588,0.577,0.576,0.533,0.548,0.556,0.6,0.69,0.548,0.645,0.565,0.531
"037",0.457,0.303,0.629,0.314,0.743,0.171,0.8,0,0.657,0.771,0.743,0.686,0.485,0.657,0.629,0.771,0.706,0.514,0.676,0.714,0.4,0.629,0.657,0.6,0.514,0.629,0.625,0.371,0.571,0.618,0.355,0.647,0.629,0.6,0.657,0.629,0.727,0.6,0.75,0.727,0.818,0.758,0.735,0.71,0.765,0.788,0.647,0.824,0.808,0.606,0.633,0.645,0.704,0.48,0.31,0.774,0.516,0.739,0.625
"038",0.457,0.667,0.571,0.686,0.429,0.543,0.543,0.657,0,0.514,0.457,0.429,0.606,0.6,0.543,0.514,0.206,0.571,0.559,0.314,0.514,0.571,0.6,0.543,0.543,0.571,0.531,0.6,0.457,0.559,0.677,0.588,0.571,0.6,0.543,0.571,0.606,0.533,0.438,0.576,0.424,0.485,0.382,0.613,0.382,0.333,0.559,0.471,0.346,0.515,0.567,0.581,0.519,0.56,0.586,0.387,0.452,0.609,0.5
"f-1",0.714,0.727,0.486,0.8,0.629,0.714,0.486,0.771,0.514,0,0.486,0.343,0.667,0.543,0.543,0.057,0.441,0.629,0.559,0.571,0.629,0.514,0.543,0.514,0.514,0.486,0.531,0.629,0.514,0.5,0.839,0.529,0.514,0.514,0.486,0.514,0.606,0.433,0.562,0.576,0.576,0.545,0.676,0.613,0.588,0.545,0.588,0.529,0.577,0.545,0.5,0.581,0.407,0.56,0.621,0.452,0.548,0.348,0.438
