"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","022","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"UBS",0,0.286,0.629,0.114,0.371,0.686,0.194,0.514,0.314,0.647,0.281,0.6,0.714,0.6,0.629,0.686,0.6,0.571,0.543,0.647,0.6,0.314,0.629,0.676,0.686,0.686,0.686,0.686,0.429,0.686,0.714,0.171,0.697,0.657,0.625,0.657,0.657,0.719,0.714,0.645,0.781,0.647,0.676,0.529,0.647,0.647,0.625,0.724,0.433,0.613,0.676,0.636,0.581,0.655,0.481,0.296,0.333,0.516,0.6,0.5,0.606
"01",0.286,0,0.829,0.229,0.4,0.657,0.29,0.6,0.314,0.647,0.406,0.629,0.857,0.743,0.743,0.8,0.571,0.686,0.629,0.765,0.743,0.429,0.8,0.853,0.743,0.743,0.771,0.829,0.571,0.8,0.8,0.286,0.818,0.829,0.812,0.829,0.857,0.812,0.8,0.742,0.688,0.765,0.647,0.706,0.706,0.706,0.688,0.69,0.433,0.677,0.765,0.727,0.774,0.828,0.519,0.333,0.375,0.677,0.7,0.654,0.758
"02",0.629,0.829,0,0.714,0.543,0.6,0.613,0.686,0.657,0.529,0.562,0.543,0.486,0.429,0.229,0.171,0.6,0.486,0.457,0.176,0.314,0.543,0.229,0.206,0.229,0.286,0.229,0.171,0.429,0.229,0.171,0.571,0.121,0.143,0.156,0.229,0.143,0.188,0.2,0.161,0.562,0.353,0.618,0.441,0.588,0.441,0.531,0.552,0.8,0.419,0.382,0.424,0.323,0.172,0.593,0.778,0.583,0.516,0.4,0.423,0.242
"03",0.114,0.229,0.714,0,0.4,0.743,0.161,0.514,0.229,0.765,0.219,0.629,0.771,0.657,0.743,0.8,0.629,0.686,0.571,0.765,0.657,0.314,0.743,0.735,0.8,0.8,0.8,0.8,0.514,0.8,0.829,0.171,0.818,0.771,0.75,0.771,0.771,0.75,0.686,0.774,0.844,0.735,0.765,0.618,0.735,0.735,0.719,0.828,0.433,0.71,0.794,0.758,0.677,0.793,0.444,0.333,0.417,0.581,0.7,0.577,0.727
"04",0.371,0.4,0.543,0.4,0,0.629,0.355,0.714,0.371,0.618,0.438,0.514,0.714,0.686,0.543,0.6,0.571,0.657,0.429,0.618,0.686,0.286,0.6,0.618,0.571,0.543,0.571,0.6,0.371,0.514,0.629,0.314,0.576,0.571,0.562,0.571,0.571,0.5,0.514,0.484,0.656,0.5,0.588,0.5,0.647,0.471,0.531,0.586,0.5,0.484,0.529,0.515,0.516,0.483,0.63,0.407,0.208,0.677,0.467,0.654,0.424
"05",0.686,0.657,0.6,0.743,0.629,0,0.677,0.657,0.629,0.294,0.781,0.629,0.486,0.543,0.543,0.514,0.657,0.4,0.514,0.529,0.514,0.686,0.543,0.588,0.514,0.457,0.457,0.486,0.6,0.486,0.571,0.714,0.515,0.543,0.562,0.514,0.514,0.562,0.571,0.419,0.312,0.412,0.176,0.353,0.088,0.412,0.25,0.207,0.567,0.387,0.353,0.333,0.548,0.448,0.667,0.741,0.542,0.742,0.467,0.577,0.424
"019",0.194,0.29,0.613,0.161,0.355,0.677,0,0.452,0.194,0.7,0.286,0.516,0.774,0.613,0.742,0.71,0.516,0.645,0.452,0.667,0.613,0.29,0.71,0.733,0.774,0.71,0.71,0.71,0.452,0.71,0.742,0.161,0.759,0.742,0.714,0.742,0.742,0.679,0.645,0.679,0.75,0.7,0.733,0.567,0.733,0.667,0.679,0.786,0.481,0.667,0.733,0.724,0.667,0.72,0.435,0.261,0.333,0.556,0.667,0.609,0.655
"032",0.514,0.6,0.686,0.514,0.714,0.657,0.452,0,0.457,0.706,0.469,0.514,0.686,0.486,0.686,0.657,0.457,0.514,0.714,0.647,0.514,0.686,0.657,0.676,0.743,0.686,0.629,0.657,0.657,0.686,0.771,0.571,0.697,0.714,0.688,0.629,0.743,0.719,0.714,0.677,0.75,0.647,0.647,0.647,0.647,0.588,0.594,0.69,0.533,0.613,0.647,0.576,0.645,0.724,0.37,0.37,0.583,0.323,0.633,0.5,0.697
"037",0.314,0.314,0.657,0.229,0.371,0.629,0.194,0.457,0,0.676,0.312,0.6,0.743,0.571,0.743,0.743,0.571,0.6,0.543,0.706,0.571,0.4,0.743,0.735,0.771,0.743,0.714,0.686,0.486,0.743,0.743,0.314,0.788,0.771,0.75,0.743,0.743,0.75,0.686,0.71,0.781,0.676,0.676,0.559,0.676,0.676,0.625,0.724,0.4,0.677,0.765,0.727,0.677,0.793,0.556,0.407,0.375,0.581,0.667,0.615,0.727
"038",0.647,0.647,0.529,0.765,0.618,0.294,0.7,0.706,0.676,0,0.71,0.441,0.324,0.471,0.471,0.441,0.471,0.265,0.5,0.485,0.471,0.618,0.471,0.515,0.382,0.324,0.382,0.412,0.588,0.353,0.382,0.676,0.438,0.471,0.484,0.441,0.441,0.548,0.559,0.333,0.387,0.303,0.364,0.394,0.364,0.333,0.355,0.286,0.759,0.267,0.364,0.242,0.433,0.357,0.654,0.769,0.583,0.6,0.414,0.52,0.312
