"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","022","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-k","it-l","it-q","it-r-1","vg","syr-p","syr-h","syr-pal","syr-s","cop-sa","cop-bo","arm","eth","geo","slav","Augustine"
"UBS",95,94,95,95,71,95,88,93,94,92,60,94,95,95,62,95,95,95,93,95,93,95,94,95,93,95,95,95,95,94,94,94,90,90,95,77,93,92,61,86,85,82,92,74,92,92,72,90,71,61,90,88,55,90,82,79,32,77,69,69,81,84,65,89,31
"01",94,94,94,94,70,94,87,92,93,91,60,93,94,94,61,94,94,94,92,94,92,94,93,94,92,94,94,94,94,93,93,93,89,89,94,76,92,91,60,85,84,81,91,73,91,91,71,89,70,61,89,87,55,89,82,79,32,77,69,69,80,83,64,88,31
"02",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"03",95,94,95,95,71,95,88,93,94,92,60,94,95,95,62,95,95,95,93,95,93,95,94,95,93,95,95,95,95,94,94,94,90,90,95,77,93,92,61,86,85,82,92,74,92,92,72,90,71,61,90,88,55,90,82,79,32,77,69,69,81,84,65,89,31
"04",71,70,76,71,76,72,69,74,75,74,59,72,76,76,44,76,76,76,75,76,75,76,75,76,75,76,76,76,76,75,75,76,75,73,76,54,74,73,50,63,72,58,73,50,73,68,55,68,47,56,70,69,34,69,64,61,29,54,57,53,65,65,49,72,32
"05",95,94,96,95,72,96,89,94,95,93,60,95,96,96,63,96,96,96,94,96,94,96,95,96,94,96,96,96,96,95,95,95,91,91,96,77,94,93,61,86,86,82,93,74,93,92,72,91,71,61,91,89,55,91,83,80,33,77,70,70,82,85,65,90,32
"019",88,87,93,88,69,89,95,91,92,90,59,89,93,93,64,93,93,93,91,95,91,93,93,93,91,93,93,93,93,93,93,92,89,88,93,73,91,90,55,80,84,75,90,70,90,85,68,85,70,57,87,89,52,86,80,76,37,70,70,70,79,84,59,87,34
"032",93,92,98,93,74,94,91,98,97,95,62,94,98,98,65,98,98,98,96,98,96,98,97,98,96,98,98,98,98,97,97,97,93,93,98,75,96,95,61,86,88,82,95,74,95,90,72,90,70,59,92,93,54,91,86,82,36,76,72,73,84,86,63,92,36
"037",94,93,99,94,75,95,92,97,99,96,63,95,99,99,66,99,99,99,97,99,97,99,98,99,97,99,99,99,99,98,98,98,94,94,99,77,97,96,60,85,89,82,96,74,96,91,71,91,71,60,93,92,55,92,86,82,37,76,74,73,85,87,64,93,36
"038",92,91,97,92,74,93,90,95,96,97,61,93,97,97,66,97,97,97,95,97,95,97,96,97,95,97,97,97,97,96,96,96,92,92,97,74,95,94,60,83,87,79,94,71,94,89,70,89,69,58,91,90,54,91,84,80,37,74,72,72,83,85,63,91,36
"044",60,60,64,60,59,60,59,62,63,61,66,60,64,64,33,64,64,64,63,66,63,64,63,64,62,64,64,64,64,63,63,64,63,60,64,44,62,61,39,54,58,48,62,42,62,57,40,56,39,56,58,57,29,58,55,50,23,48,50,47,55,58,42,60,26
"f-1",94,93,96,94,72,95,89,94,95,93,60,96,96,96,63,96,96,96,94,96,94,96,95,96,94,96,96,96,96,95,95,95,91,91,96,77,94,94,61,86,86,82,93,74,93,91,72,91,71,60,91,89,55,91,84,81,34,77,71,71,83,85,65,90,32
"f-13",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"28",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"33",62,61,67,62,44,63,64,65,66,66,33,63,67,67,67,67,67,67,65,67,66,67,66,67,65,67,67,67,67,66,66,67,62,64,67,44,67,64,36,53,62,52,65,44,65,60,40,60,46,35,65,61,37,63,58,56,27,51,49,50,55,62,39,63,23
"157",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"180",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"205",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"565",93,92,98,93,75,94,91,96,97,95,63,94,98,98,65,98,98,98,98,98,96,98,97,98,96,98,98,98,98,97,97,97,93,93,98,76,96,96,60,85,88,81,95,73,95,90,72,90,70,60,92,91,54,91,86,82,37,75,73,73,86,86,63,93,35
"579",95,94,100,95,76,96,95,98,99,97,66,96,100,100,67,100,100,100,98,102,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,63,94,93,55,93,87,83,37,77,76,75,86,90,65,94,36
"597",93,92,98,93,75,94,91,96,97,95,63,94,98,98,66,98,98,98,96,98,98,98,97,98,96,98,98,98,98,97,97,97,93,93,98,75,96,95,60,84,88,80,95,72,95,90,70,90,69,60,92,91,53,91,85,81,36,75,72,72,85,86,64,92,34
"700",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"892",94,93,99,94,75,95,93,97,98,96,63,95,99,99,66,99,99,99,97,99,97,99,99,99,97,99,99,99,99,99,99,98,95,94,99,77,97,96,61,86,89,81,96,74,96,91,72,91,71,60,93,93,54,92,86,82,37,76,73,73,85,87,64,93,36
"1006",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"1010",93,92,98,93,75,94,91,96,97,95,62,94,98,98,65,98,98,98,96,98,96,98,97,98,98,98,98,98,98,97,97,97,93,94,98,75,96,95,60,84,89,80,95,72,95,90,71,90,69,59,92,91,53,91,85,82,36,75,72,73,84,86,63,92,36
"1071",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"1241",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"1243",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"1292",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"1342",94,93,99,94,75,95,93,97,98,96,63,95,99,99,66,99,99,99,97,99,97,99,99,99,97,99,99,99,99,99,99,98,95,94,99,77,97,96,61,86,89,81,96,74,96,91,72,91,71,60,93,93,54,92,86,82,37,76,73,73,85,87,64,93,36
"1424",94,93,99,94,75,95,93,97,98,96,63,95,99,99,66,99,99,99,97,99,97,99,99,99,97,99,99,99,99,99,99,98,95,94,99,77,97,96,61,86,89,81,96,74,96,91,72,91,71,60,93,93,54,92,86,82,37,76,73,73,85,87,64,93,36
"1505",94,93,99,94,76,95,92,97,98,96,64,95,99,99,67,99,99,99,97,99,97,99,98,99,97,99,99,99,99,98,98,99,94,94,99,76,97,96,61,85,90,81,96,73,96,91,71,91,70,61,93,92,54,92,86,82,37,76,73,73,85,87,64,93,35
"2427",90,89,95,90,75,91,89,93,94,92,63,91,95,95,62,95,95,95,93,95,93,95,95,95,93,95,95,95,95,95,95,94,95,90,95,73,93,92,58,82,85,77,92,70,92,87,68,87,67,60,89,89,50,88,82,78,36,73,71,69,81,83,60,89,36
"Byz",90,89,95,90,73,91,88,93,94,92,60,91,95,95,64,95,95,95,93,95,93,95,94,95,94,95,95,95,95,94,94,94,90,95,95,72,93,92,59,81,87,78,93,70,93,88,70,88,68,58,90,89,51,89,84,82,36,73,71,69,82,84,62,90,36
"07",95,94,100,95,76,96,93,98,99,97,64,96,100,100,67,100,100,100,98,100,98,100,99,100,98,100,100,100,100,99,99,99,95,95,100,77,98,97,61,86,90,82,97,74,97,92,72,92,71,61,94,93,55,93,87,83,37,77,74,74,86,88,65,94,36
"09",77,76,77,77,54,77,73,75,77,74,44,77,77,77,44,77,77,77,76,77,75,77,77,77,75,77,77,77,77,77,77,76,73,72,77,77,75,77,50,73,67,70,74,70,74,75,66,73,66,43,72,73,49,72,68,64,28,62,57,56,67,67,53,72,21
"011",93,92,98,93,74,94,91,96,97,95,62,94,98,98,67,98,98,98,96,98,96,98,97,98,96,98,98,98,98,97,97,97,93,93,98,75,98,95,61,84,88,80,95,72,95,90,70,90,69,59,92,91,54,91,85,81,37,75,73,73,84,86,64,92,36
"013",92,91,97,92,73,93,90,95,96,94,61,94,97,97,64,97,97,97,96,97,95,97,96,97,95,97,97,97,97,96,96,96,92,92,97,77,95,97,61,85,87,82,94,74,94,89,72,90,71,58,91,90,55,90,86,82,36,75,72,74,85,85,63,91,34
"022",61,60,61,61,50,61,55,61,60,60,39,61,61,61,36,61,61,61,60,61,60,61,61,61,60,61,61,61,61,61,61,61,58,59,61,50,61,61,61,60,56,55,59,51,59,60,53,58,46,37,57,58,34,58,54,53,20,47,45,48,54,53,42,58,21
"042",86,85,86,86,63,86,80,86,85,83,54,86,86,86,53,86,86,86,85,86,84,86,86,86,84,86,86,86,86,86,86,85,82,81,86,73,84,85,60,86,76,78,83,72,83,83,69,82,67,54,81,82,52,81,76,73,30,70,62,64,74,75,57,80,28
"Lect",85,84,90,85,72,86,84,88,89,87,58,86,90,90,62,90,90,90,88,90,88,90,89,90,89,90,90,90,90,89,89,90,85,87,90,67,88,87,56,76,90,73,87,64,87,82,64,82,62,57,84,83,48,83,79,76,34,68,66,66,76,79,59,84,32
"it-a",82,81,82,82,58,82,75,82,82,79,48,82,82,82,52,82,82,82,81,82,80,82,81,82,80,82,82,82,82,81,81,81,77,78,82,70,80,82,55,78,73,82,82,72,82,82,68,80,67,51,79,79,53,79,74,72,27,69,60,61,74,73,57,79,25
"it-aur",92,91,97,92,73,93,90,95,96,94,62,93,97,97,65,97,97,97,95,97,95,97,96,97,95,97,97,97,97,96,96,96,92,93,97,74,95,94,59,83,87,82,97,74,97,91,71,91,71,61,93,92,55,92,86,82,36,77,73,72,85,87,65,93,36
"it-b",74,73,74,74,50,74,70,74,74,71,42,74,74,74,44,74,74,74,73,74,72,74,74,74,72,74,74,74,74,74,74,73,70,70,74,70,72,74,51,72,64,72,74,74,74,74,66,72,67,43,71,74,49,71,67,63,28,62,55,56,66,66,52,70,20
"it-c",92,91,97,92,73,93,90,95,96,94,62,93,97,97,65,97,97,97,95,97,95,97,96,97,95,97,97,97,97,96,96,96,92,93,97,74,95,94,59,83,87,82,97,74,97,91,71,91,71,61,93,92,55,92,86,82,36,77,73,72,85,87,65,93,36
"it-d",92,91,92,92,68,92,85,90,91,89,57,91,92,92,60,92,92,92,90,92,90,92,91,92,90,92,92,92,92,91,91,91,87,88,92,75,90,89,60,83,82,82,91,74,91,92,72,89,71,60,89,87,55,89,81,78,31,76,68,67,80,83,65,88,30
"it-f",72,71,72,72,55,72,68,72,71,70,40,72,72,72,40,72,72,72,72,72,70,72,72,72,71,72,72,72,72,72,72,71,68,70,72,66,70,72,53,69,64,68,71,66,71,72,72,70,61,42,69,72,44,69,65,63,26,59,54,54,66,65,50,70,22
"it-ff-2",90,89,92,90,68,91,85,90,91,89,56,91,92,92,60,92,92,92,90,92,90,92,91,92,90,92,92,92,92,91,91,91,87,88,92,73,90,90,58,82,82,80,91,72,91,89,70,92,69,58,89,87,55,88,82,79,33,76,70,70,81,83,63,88,31
"it-i",71,70,71,71,47,71,70,70,71,69,39,71,71,71,46,71,71,71,70,71,69,71,71,71,69,71,71,71,71,71,71,70,67,68,71,66,69,71,46,67,62,67,71,67,71,71,61,69,71,40,68,70,49,68,63,60,27,58,54,54,64,64,51,67,21
"it-k",61,61,61,61,56,61,57,59,60,58,56,60,61,61,35,61,61,61,60,63,60,61,60,61,59,61,61,61,61,60,60,61,60,58,61,43,59,58,37,54,57,51,61,43,61,60,42,58,40,63,59,56,31,59,54,51,21,51,49,43,52,57,44,58,25
"it-l",90,89,94,90,70,91,87,92,93,91,58,91,94,94,65,94,94,94,92,94,92,94,93,94,92,94,94,94,94,93,93,93,89,90,94,72,92,91,57,81,84,79,93,71,93,89,69,89,68,59,94,89,53,90,83,79,36,75,70,69,81,84,62,90,34
"it-q",88,87,93,88,69,89,89,93,92,90,57,89,93,93,61,93,93,93,91,93,91,93,93,93,91,93,93,93,93,93,93,92,89,89,93,73,91,90,58,82,83,79,92,74,92,87,72,87,70,56,89,93,51,88,83,79,36,73,70,70,80,83,60,89,34
"it-r-1",55,55,55,55,34,55,52,54,55,54,29,55,55,55,37,55,55,55,54,55,53,55,54,55,53,55,55,55,55,54,54,54,50,51,55,49,54,55,34,52,48,53,55,49,55,55,44,55,49,31,53,51,55,54,52,49,25,49,42,47,50,49,38,51,19
"vg",90,89,93,90,69,91,86,91,92,91,58,91,93,93,63,93,93,93,91,93,91,93,92,93,91,93,93,93,93,92,92,92,88,89,93,72,91,90,58,81,83,79,92,71,92,89,69,88,68,59,90,88,54,93,84,80,35,76,71,70,80,85,62,89,33
"syr-p",82,82,87,82,64,83,80,86,86,84,55,84,87,87,58,87,87,87,86,87,85,87,86,87,85,87,87,87,87,86,86,86,82,84,87,68,85,86,54,76,79,74,86,67,86,81,65,82,63,54,83,83,52,84,87,82,37,75,69,68,76,81,55,83,32
"syr-h",79,79,83,79,61,80,76,82,82,80,50,81,83,83,56,83,83,83,82,83,81,83,82,83,82,83,83,83,83,82,82,82,78,82,83,64,81,82,53,73,76,72,82,63,82,78,63,79,60,51,79,79,49,80,82,83,35,71,66,64,75,77,54,80,31
"syr-pal",32,32,37,32,29,33,37,36,37,37,23,34,37,37,27,37,37,37,37,37,36,37,37,37,36,37,37,37,37,37,37,37,36,36,37,28,37,36,20,30,34,27,36,28,36,31,26,33,27,21,36,36,25,35,37,35,37,28,30,30,34,34,22,34,15
"syr-s",77,77,77,77,54,77,70,76,76,74,48,77,77,77,51,77,77,77,75,77,75,77,76,77,75,77,77,77,77,76,76,76,73,73,77,62,75,75,47,70,68,69,77,62,77,76,59,76,58,51,75,73,49,76,75,71,28,77,62,58,67,73,52,73,26
"cop-sa",69,69,74,69,57,70,70,72,74,72,50,71,74,74,49,74,74,74,73,76,72,74,73,74,72,74,74,74,74,73,73,73,71,71,74,57,73,72,45,62,66,60,73,55,73,68,54,70,54,49,70,70,42,71,69,66,30,62,76,61,67,70,49,71,29
"cop-bo",69,69,74,69,53,70,70,73,73,72,47,71,74,74,50,74,74,74,73,75,72,74,73,74,73,74,74,74,74,73,73,73,69,69,74,56,73,74,48,64,66,61,72,56,72,67,54,70,54,43,69,70,47,70,68,64,30,58,61,75,67,67,47,69,27
