"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12"
"A1",0,0.133,0.133,0.4,0.533,0.533,0.4,0.533,0.533,0.4,0.533,0.533
"A2",0.133,0,0.133,0.533,0.4,0.533,0.533,0.4,0.533,0.533,0.4,0.533
"A3",0.133,0.133,0,0.533,0.533,0.4,0.533,0.533,0.4,0.533,0.533,0.4
"A4",0.4,0.533,0.533,0,0.133,0.133,0.4,0.533,0.533,0.4,0.533,0.533
"A5",0.533,0.4,0.533,0.133,0,0.133,0.533,0.4,0.533,0.533,0.4,0.533
"A6",0.533,0.533,0.4,0.133,0.133,0,0.533,0.533,0.4,0.533,0.533,0.4
"A7",0.4,0.533,0.533,0.4,0.533,0.533,0,0.133,0.133,0.4,0.533,0.533
"A8",0.533,0.4,0.533,0.533,0.4,0.533,0.133,0,0.133,0.533,0.4,0.533
"A9",0.533,0.533,0.4,0.533,0.533,0.4,0.133,0.133,0,0.533,0.533,0.4
"A10",0.4,0.533,0.533,0.4,0.533,0.533,0.4,0.533,0.533,0,0.133,0.133
"A11",0.533,0.4,0.533,0.533,0.4,0.533,0.533,0.4,0.533,0.133,0,0.133
"A12",0.533,0.533,0.4,0.533,0.533,0.4,0.533,0.533,0.4,0.133,0.133,0
