"","UBS","01","02","03","04","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","slav"
"UBS",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"01",34,34,34,34,27,33,33,34,34,33,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,31,34,33,34,33,31,34,32,31,30,34,30,29,34,34,33,33,33,33,33,31,32,31,28,29,25,19,29,28,29
"02",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"03",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"04",28,27,28,28,28,27,27,28,28,27,28,28,28,28,28,28,28,28,26,28,28,28,28,27,28,28,28,25,28,27,28,27,25,28,26,27,23,28,24,23,28,28,27,27,27,28,27,28,27,26,23,23,19,16,25,22,24
"05",34,33,34,34,27,34,33,34,34,34,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,31,34,33,34,33,31,34,32,31,29,34,30,29,34,34,33,33,33,33,33,31,32,31,28,28,24,19,29,28,29
"019",34,33,34,34,27,33,34,34,34,33,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,32,34,33,34,33,31,34,32,31,29,34,30,30,34,34,33,33,33,33,34,31,32,31,28,28,24,19,29,28,30
"032",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"037",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"038",34,33,34,34,27,34,33,34,34,34,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,31,34,33,34,33,31,34,32,31,29,34,30,29,34,34,33,33,33,33,33,31,32,31,28,28,24,19,29,28,29
