"","UBS","01","02","03","04","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","slav"
"UBS",0,0.353,0.743,0.2,0.679,0.853,0.441,0.714,0.6,0.676,0.714,0.714,0.6,0.6,0.7,0.714,0.686,0.6,0.606,0.771,0.743,0.514,0.686,0.706,0.714,0.647,0.714,0.719,0.6,0.765,0.771,0.324,0.719,0.714,0.697,0.781,0.7,0.8,0.774,0.767,0.629,0.743,0.647,0.735,0.618,0.647,0.647,0.719,0.727,0.531,0.655,0.69,0.56,0.45,0.7,0.586,0.567
"01",0.353,0,0.706,0.382,0.444,0.879,0.424,0.824,0.412,0.576,0.706,0.706,0.559,0.529,0.69,0.765,0.676,0.588,0.656,0.706,0.735,0.5,0.735,0.788,0.676,0.667,0.735,0.71,0.559,0.758,0.706,0.485,0.742,0.765,0.781,0.742,0.733,0.735,0.767,0.966,0.647,0.853,0.788,0.879,0.727,0.788,0.636,0.774,0.812,0.613,0.679,0.655,0.48,0.526,0.586,0.571,0.655
"02",0.743,0.706,0,0.8,0.429,0.559,0.559,0.629,0.4,0.588,0.4,0.4,0.486,0.457,0.267,0.171,0.429,0.571,0.394,0.171,0.371,0.457,0.2,0.176,0.286,0.382,0.343,0.156,0.514,0.382,0.171,0.765,0.156,0.171,0.182,0.344,0.233,0.229,0.258,0.733,0.486,0.657,0.647,0.676,0.412,0.735,0.441,0.469,0.667,0.469,0.276,0.241,0.6,0.55,0.467,0.483,0.233
"03",0.2,0.382,0.8,0,0.643,0.853,0.441,0.657,0.629,0.647,0.657,0.657,0.571,0.543,0.733,0.8,0.657,0.543,0.667,0.8,0.714,0.514,0.771,0.794,0.714,0.676,0.771,0.75,0.543,0.706,0.8,0.206,0.781,0.8,0.788,0.719,0.767,0.714,0.71,0.833,0.657,0.829,0.735,0.824,0.735,0.735,0.676,0.875,0.727,0.656,0.759,0.69,0.52,0.45,0.733,0.552,0.7
"04",0.679,0.444,0.429,0.643,0,0.667,0.519,0.714,0.286,0.556,0.5,0.357,0.464,0.536,0.393,0.393,0.5,0.571,0.423,0.393,0.429,0.429,0.393,0.407,0.393,0.429,0.464,0.28,0.464,0.519,0.393,0.704,0.36,0.393,0.423,0.444,0.435,0.393,0.417,0.826,0.5,0.786,0.667,0.778,0.63,0.786,0.444,0.643,0.741,0.423,0.478,0.435,0.526,0.688,0.48,0.636,0.375
"05",0.853,0.879,0.559,0.853,0.667,0,0.758,0.618,0.735,0.676,0.735,0.706,0.794,0.794,0.655,0.618,0.735,0.735,0.688,0.647,0.618,0.765,0.618,0.636,0.647,0.727,0.618,0.645,0.824,0.758,0.647,0.788,0.645,0.618,0.656,0.677,0.655,0.618,0.7,0.31,0.588,0.353,0.606,0.212,0.606,0.333,0.636,0.419,0.344,0.613,0.571,0.75,0.875,0.842,0.621,0.929,0.655
"019",0.441,0.424,0.559,0.441,0.519,0.758,0,0.676,0.441,0.485,0.471,0.559,0.559,0.412,0.517,0.559,0.441,0.5,0.469,0.559,0.529,0.294,0.588,0.576,0.5,0.515,0.529,0.5,0.618,0.545,0.559,0.394,0.516,0.559,0.562,0.516,0.552,0.529,0.533,0.933,0.588,0.735,0.667,0.848,0.576,0.818,0.529,0.71,0.812,0.484,0.571,0.5,0.583,0.368,0.517,0.571,0.433
"032",0.714,0.824,0.629,0.657,0.714,0.618,0.676,0,0.714,0.706,0.629,0.6,0.714,0.771,0.667,0.657,0.657,0.743,0.667,0.657,0.686,0.771,0.686,0.676,0.686,0.647,0.686,0.594,0.714,0.676,0.657,0.706,0.656,0.657,0.667,0.625,0.7,0.543,0.613,0.7,0.686,0.571,0.647,0.706,0.647,0.735,0.706,0.75,0.697,0.75,0.724,0.724,0.64,0.65,0.6,0.586,0.667
"037",0.6,0.412,0.4,0.629,0.286,0.735,0.441,0.714,0,0.706,0.629,0.514,0.543,0.429,0.5,0.486,0.6,0.571,0.545,0.429,0.514,0.457,0.457,0.441,0.429,0.529,0.514,0.406,0.514,0.559,0.429,0.647,0.469,0.486,0.485,0.531,0.533,0.486,0.516,0.8,0.514,0.771,0.647,0.765,0.618,0.794,0.529,0.688,0.727,0.438,0.448,0.483,0.6,0.5,0.567,0.621,0.467
"038",0.676,0.576,0.588,0.647,0.556,0.676,0.485,0.706,0.706,0,0.412,0.441,0.471,0.5,0.517,0.559,0.412,0.471,0.594,0.529,0.471,0.529,0.588,0.606,0.559,0.545,0.529,0.548,0.588,0.485,0.529,0.636,0.516,0.559,0.562,0.516,0.552,0.5,0.5,0.828,0.529,0.647,0.667,0.697,0.545,0.727,0.515,0.516,0.688,0.484,0.5,0.5,0.5,0.421,0.414,0.536,0.483
