"","UBS","01","02","03","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-l","it-q","it-r-1","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"UBS",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"01",33,33,33,33,33,33,33,33,33,33,33,33,31,33,33,33,32,33,32,33,33,33,33,33,33,33,30,33,33,32,29,32,33,33,33,33,31,29,30,31,31,31,32,29,32,31,32,32,25,31,29,30,26,24,28,29,29,21,30
"02",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"03",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"05",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"019",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"032",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"037",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"038",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"f-1",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
