"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","022","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"UBS",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"01",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"02",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"03",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"04",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"05",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"019",31,31,31,31,31,31,31,31,31,30,28,31,31,31,31,31,31,31,31,30,31,31,31,30,31,31,31,31,31,31,31,31,29,31,28,31,31,28,31,28,28,30,30,30,30,30,28,28,27,27,30,29,27,25,23,23,21,27,27,23,29
"032",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"037",35,35,35,35,35,35,31,35,35,34,32,35,35,35,35,35,35,35,35,34,35,35,35,34,35,35,35,35,35,35,35,35,33,35,32,35,35,32,35,31,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,24,31,30,26,33
"038",34,34,34,34,34,34,30,34,34,34,31,34,34,34,34,34,34,34,34,33,34,34,34,33,34,34,34,34,34,34,34,34,32,34,31,34,34,31,34,30,31,33,33,33,33,33,31,28,29,30,33,33,30,28,26,26,24,30,29,25,32
