"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","011","013","042","Lect","it-aur","it-c","it-d","it-ff-2","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","slav"
"UBS",30,30,30,30,25,30,27,28,29,28,28,29,30,30,23,30,30,30,29,30,30,30,29,30,29,30,30,30,30,29,29,30,29,28,30,28,27,23,28,29,29,28,28,29,29,24,28,24,23,25,21,20,24,27,28
"01",30,30,30,30,25,30,27,28,29,28,28,29,30,30,23,30,30,30,29,30,30,30,29,30,29,30,30,30,30,29,29,30,29,28,30,28,27,23,28,29,29,28,28,29,29,24,28,24,23,25,21,20,24,27,28
"02",30,30,35,30,30,31,32,33,34,33,32,31,35,35,28,35,35,35,34,35,35,35,34,35,34,35,35,35,35,34,34,35,34,33,35,33,32,23,33,34,34,28,30,29,33,29,31,29,27,25,26,25,29,31,33
"03",30,30,30,30,25,30,27,28,29,28,28,29,30,30,23,30,30,30,29,30,30,30,29,30,29,30,30,30,30,29,29,30,29,28,30,28,27,23,28,29,29,28,28,29,29,24,28,24,23,25,21,20,24,27,28
"04",25,25,30,25,30,26,27,28,29,29,27,26,30,30,23,30,30,30,29,30,30,30,29,30,30,30,30,30,30,29,29,30,29,29,30,28,27,18,30,29,29,23,25,24,28,24,26,24,23,20,22,20,24,26,29
"05",30,30,31,30,26,31,28,29,30,29,28,30,31,31,24,31,31,31,30,31,31,31,30,31,30,31,31,31,31,30,30,31,30,29,31,29,28,23,29,30,30,28,29,29,30,25,29,25,24,25,22,21,25,28,29
"019",27,27,32,27,27,28,34,30,31,30,31,28,32,32,25,32,32,32,31,34,32,32,32,32,31,32,32,32,32,32,32,32,32,30,32,30,29,21,30,31,31,25,27,28,30,29,28,26,24,22,26,24,26,30,30
"032",28,28,33,28,28,29,30,33,32,31,30,29,33,33,26,33,33,33,32,33,33,33,32,33,32,33,33,33,33,32,32,33,32,31,33,31,30,23,31,32,32,26,28,27,31,29,29,28,26,24,24,24,27,29,31
"037",29,29,34,29,29,30,31,32,34,32,31,30,34,34,27,34,34,34,33,34,34,34,33,34,33,34,34,34,34,33,33,34,33,32,34,32,31,22,32,33,33,27,29,28,32,28,30,28,26,24,26,24,28,30,32
"038",28,28,33,28,29,29,30,31,32,33,30,29,33,33,27,33,33,33,32,33,33,33,32,33,32,33,33,33,33,32,32,33,32,31,33,31,30,21,31,32,32,26,28,27,31,27,29,27,25,23,25,23,27,29,31
