"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","022","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-k","it-l","it-q","it-r-1","vg","syr-p","syr-h","syr-pal","syr-s","cop-sa","cop-bo","arm","eth","geo","slav","Augustine"
"UBS",0,0.362,0.547,0.2,0.451,0.632,0.295,0.591,0.415,0.598,0.3,0.596,0.642,0.537,0.581,0.547,0.579,0.568,0.581,0.558,0.548,0.558,0.404,0.526,0.548,0.568,0.558,0.568,0.558,0.447,0.564,0.553,0.233,0.556,0.537,0.584,0.548,0.554,0.574,0.581,0.518,0.659,0.609,0.676,0.63,0.63,0.625,0.611,0.69,0.557,0.589,0.625,0.655,0.556,0.537,0.595,0.625,0.545,0.362,0.362,0.605,0.524,0.569,0.573,0.613
"01",0.362,0,0.67,0.255,0.329,0.723,0.241,0.63,0.355,0.692,0.333,0.634,0.734,0.67,0.574,0.67,0.691,0.617,0.707,0.521,0.674,0.691,0.376,0.67,0.696,0.66,0.638,0.67,0.681,0.419,0.645,0.667,0.315,0.674,0.681,0.684,0.674,0.714,0.717,0.694,0.631,0.728,0.659,0.685,0.692,0.725,0.648,0.708,0.714,0.557,0.573,0.678,0.673,0.584,0.659,0.696,0.625,0.61,0.333,0.304,0.675,0.542,0.672,0.659,0.742
"02",0.547,0.67,0,0.642,0.447,0.656,0.591,0.622,0.566,0.526,0.547,0.417,0.37,0.39,0.313,0.17,0.14,0.41,0.531,0.4,0.133,0.31,0.455,0.17,0.143,0.2,0.2,0.14,0.12,0.384,0.212,0.121,0.505,0.095,0.12,0.104,0.163,0.124,0.148,0.174,0.1,0.573,0.34,0.635,0.515,0.63,0.389,0.522,0.535,0.77,0.33,0.376,0.473,0.323,0.287,0.181,0.459,0.584,0.595,0.554,0.535,0.364,0.508,0.213,0.306
"03",0.2,0.255,0.642,0,0.479,0.716,0.239,0.613,0.34,0.75,0.267,0.66,0.726,0.642,0.597,0.653,0.674,0.663,0.731,0.579,0.667,0.674,0.372,0.653,0.656,0.684,0.653,0.684,0.674,0.436,0.649,0.681,0.144,0.678,0.663,0.675,0.667,0.674,0.639,0.64,0.647,0.768,0.674,0.797,0.696,0.728,0.694,0.733,0.831,0.557,0.656,0.716,0.782,0.633,0.622,0.696,0.688,0.584,0.333,0.304,0.691,0.619,0.569,0.64,0.645
"04",0.451,0.329,0.447,0.479,0,0.667,0.362,0.635,0.333,0.635,0.39,0.486,0.618,0.579,0.341,0.461,0.487,0.526,0.667,0.395,0.467,0.579,0.347,0.487,0.48,0.474,0.434,0.461,0.474,0.32,0.453,0.487,0.387,0.452,0.461,0.481,0.459,0.479,0.46,0.476,0.417,0.707,0.534,0.64,0.562,0.662,0.491,0.529,0.574,0.589,0.471,0.493,0.559,0.493,0.469,0.426,0.517,0.63,0.439,0.34,0.631,0.431,0.694,0.403,0.75
"05",0.632,0.723,0.656,0.716,0.667,0,0.73,0.617,0.705,0.441,0.8,0.663,0.625,0.604,0.603,0.625,0.635,0.677,0.468,0.646,0.638,0.562,0.705,0.656,0.67,0.656,0.635,0.635,0.635,0.674,0.653,0.663,0.736,0.637,0.656,0.688,0.638,0.634,0.59,0.64,0.605,0.329,0.505,0.27,0.441,0.141,0.5,0.341,0.324,0.525,0.527,0.416,0.309,0.505,0.578,0.612,0.545,0.662,0.714,0.629,0.61,0.624,0.631,0.589,0.469
"019",0.295,0.241,0.591,0.239,0.362,0.73,0,0.626,0.239,0.644,0.254,0.562,0.667,0.57,0.516,0.645,0.613,0.559,0.615,0.411,0.593,0.602,0.301,0.591,0.604,0.613,0.57,0.591,0.591,0.387,0.548,0.598,0.281,0.602,0.602,0.589,0.593,0.622,0.636,0.6,0.583,0.747,0.644,0.757,0.633,0.741,0.647,0.682,0.743,0.596,0.632,0.674,0.673,0.605,0.625,0.645,0.595,0.571,0.4,0.3,0.582,0.536,0.644,0.575,0.706
"032",0.591,0.63,0.622,0.613,0.635,0.617,0.626,0,0.608,0.558,0.548,0.479,0.541,0.51,0.677,0.622,0.612,0.469,0.5,0.653,0.625,0.561,0.619,0.592,0.625,0.612,0.622,0.592,0.622,0.649,0.608,0.649,0.613,0.624,0.633,0.64,0.573,0.642,0.639,0.651,0.602,0.671,0.621,0.595,0.6,0.633,0.569,0.589,0.643,0.627,0.576,0.591,0.574,0.571,0.581,0.598,0.667,0.421,0.514,0.575,0.429,0.616,0.429,0.587,0.583
"037",0.415,0.355,0.566,0.34,0.333,0.705,0.239,0.608,0,0.646,0.365,0.547,0.596,0.505,0.394,0.596,0.556,0.545,0.619,0.475,0.557,0.556,0.388,0.556,0.557,0.556,0.515,0.535,0.535,0.378,0.531,0.551,0.351,0.564,0.576,0.584,0.567,0.562,0.65,0.588,0.528,0.756,0.615,0.716,0.667,0.714,0.662,0.626,0.704,0.583,0.591,0.652,0.691,0.609,0.57,0.585,0.541,0.632,0.459,0.384,0.612,0.552,0.641,0.527,0.667
"038",0.598,0.692,0.526,0.75,0.635,0.441,0.644,0.558,0.646,0,0.705,0.473,0.34,0.433,0.5,0.505,0.464,0.464,0.211,0.546,0.495,0.392,0.583,0.474,0.516,0.433,0.454,0.464,0.474,0.573,0.458,0.458,0.663,0.478,0.495,0.527,0.442,0.479,0.533,0.542,0.448,0.43,0.436,0.408,0.511,0.438,0.471,0.393,0.377,0.707,0.418,0.456,0.389,0.407,0.488,0.462,0.324,0.595,0.708,0.611,0.47,0.506,0.508,0.407,0.389
"044",0.3,0.333,0.547,0.267,0.39,0.8,0.254,0.548,0.365,0.705,0,0.567,0.703,0.578,0.576,0.578,0.609,0.562,0.635,0.576,0.54,0.547,0.27,0.609,0.581,0.609,0.609,0.594,0.562,0.476,0.587,0.594,0.286,0.583,0.594,0.636,0.548,0.639,0.718,0.611,0.552,0.75,0.677,0.786,0.726,0.772,0.6,0.75,0.744,0.536,0.672,0.667,0.759,0.655,0.582,0.66,0.696,0.542,0.38,0.383,0.545,0.603,0.619,0.583,0.731
"f-1",0.596,0.634,0.417,0.66,0.486,0.663,0.562,0.479,0.547,0.473,0.567,0,0.365,0.312,0.444,0.49,0.448,0.052,0.447,0.49,0.447,0.469,0.526,0.427,0.436,0.427,0.375,0.396,0.427,0.505,0.389,0.389,0.615,0.418,0.448,0.468,0.383,0.447,0.475,0.442,0.384,0.585,0.462,0.581,0.602,0.681,0.514,0.538,0.535,0.683,0.473,0.438,0.564,0.44,0.452,0.457,0.412,0.455,0.563,0.606,0.47,0.529,0.415,0.411,0.5
"f-13",0.642,0.734,0.37,0.726,0.618,0.625,0.667,0.541,0.596,0.34,0.703,0.365,0,0.3,0.299,0.38,0.35,0.37,0.337,0.4,0.378,0.35,0.525,0.3,0.306,0.31,0.35,0.29,0.34,0.505,0.303,0.333,0.663,0.316,0.33,0.351,0.296,0.32,0.443,0.372,0.322,0.561,0.423,0.527,0.526,0.609,0.514,0.5,0.451,0.787,0.404,0.441,0.491,0.387,0.437,0.313,0.405,0.558,0.608,0.595,0.442,0.432,0.369,0.33,0.417
"28",0.537,0.67,0.39,0.642,0.579,0.604,0.57,0.51,0.505,0.433,0.578,0.312,0.3,0,0.507,0.45,0.41,0.31,0.367,0.54,0.408,0.4,0.556,0.39,0.378,0.38,0.42,0.34,0.39,0.495,0.424,0.374,0.611,0.368,0.39,0.442,0.347,0.392,0.475,0.465,0.356,0.622,0.505,0.527,0.619,0.62,0.625,0.522,0.465,0.738,0.489,0.516,0.564,0.462,0.471,0.482,0.459,0.481,0.595,0.581,0.488,0.58,0.415,0.457,0.472
"33",0.581,0.574,0.313,0.597,0.341,0.603,0.516,0.677,0.394,0.5,0.576,0.444,0.299,0.507,0,0.269,0.269,0.478,0.492,0.209,0.242,0.328,0.288,0.224,0.231,0.284,0.224,0.269,0.239,0.364,0.227,0.254,0.484,0.203,0.239,0.273,0.239,0.25,0.278,0.226,0.242,0.519,0.4,0.523,0.492,0.55,0.425,0.483,0.522,0.771,0.415,0.377,0.432,0.381,0.328,0.179,0.407,0.706,0.49,0.38,0.564,0.339,0.615,0.222,0.522
"157",0.547,0.67,0.17,0.653,0.461,0.625,0.645,0.622,0.596,0.505,0.578,0.49,0.38,0.45,0.269,0,0.13,0.43,0.531,0.39,0.102,0.34,0.404,0.12,0.082,0.2,0.22,0.18,0.14,0.354,0.232,0.131,0.547,0.063,0.07,0.13,0.122,0.093,0.131,0.163,0.1,0.561,0.34,0.595,0.495,0.587,0.333,0.5,0.521,0.738,0.266,0.301,0.545,0.269,0.287,0.157,0.378,0.597,0.595,0.554,0.581,0.352,0.492,0.202,0.333
"180",0.579,0.691,0.14,0.674,0.487,0.635,0.613,0.612,0.556,0.464,0.609,0.448,0.35,0.41,0.269,0.13,0,0.41,0.541,0.37,0.051,0.29,0.414,0.08,0.082,0.18,0.18,0.12,0.06,0.384,0.192,0.101,0.547,0.053,0.08,0.104,0.102,0.082,0.148,0.186,0.078,0.573,0.381,0.595,0.536,0.62,0.375,0.478,0.465,0.82,0.33,0.323,0.473,0.29,0.299,0.145,0.405,0.662,0.595,0.514,0.558,0.318,0.523,0.181,0.306
"205",0.568,0.617,0.41,0.663,0.526,0.677,0.559,0.469,0.545,0.464,0.562,0.052,0.37,0.31,0.478,0.43,0.41,0,0.449,0.49,0.388,0.44,0.525,0.39,0.388,0.42,0.37,0.38,0.4,0.495,0.394,0.364,0.611,0.379,0.41,0.455,0.347,0.433,0.492,0.442,0.356,0.573,0.443,0.595,0.577,0.663,0.514,0.522,0.521,0.656,0.415,0.441,0.527,0.409,0.471,0.482,0.405,0.429,0.568,0.595,0.488,0.511,0.415,0.415,0.444
"565",0.581,0.707,0.531,0.731,0.667,0.468,0.615,0.5,0.619,0.211,0.635,0.447,0.337,0.367,0.492,0.531,0.541,0.449,0,0.551,0.542,0.367,0.567,0.51,0.542,0.459,0.51,0.459,0.531,0.619,0.474,0.536,0.677,0.516,0.531,0.526,0.49,0.51,0.567,0.529,0.5,0.481,0.432,0.411,0.505,0.478,0.486,0.444,0.414,0.667,0.457,0.495,0.463,0.429,0.5,0.488,0.324,0.493,0.644,0.575,0.337,0.523,0.381,0.441,0.486
"579",0.558,0.521,0.4,0.579,0.395,0.646,0.411,0.653,0.475,0.546,0.576,0.49,0.4,0.54,0.209,0.39,0.37,0.49,0.551,0,0.378,0.45,0.374,0.33,0.367,0.36,0.34,0.34,0.36,0.384,0.323,0.384,0.505,0.347,0.36,0.403,0.357,0.381,0.41,0.36,0.333,0.61,0.433,0.608,0.485,0.609,0.458,0.554,0.535,0.762,0.426,0.441,0.473,0.419,0.425,0.337,0.541,0.61,0.513,0.427,0.535,0.356,0.523,0.33,0.556
"597",0.548,0.674,0.133,0.667,0.467,0.638,0.593,0.625,0.557,0.495,0.54,0.447,0.378,0.408,0.242,0.102,0.051,0.388,0.542,0.378,0,0.255,0.402,0.102,0.062,0.204,0.173,0.143,0.051,0.371,0.196,0.093,0.538,0.032,0.071,0.12,0.094,0.084,0.15,0.179,0.08,0.562,0.389,0.583,0.526,0.611,0.357,0.467,0.464,0.8,0.315,0.308,0.472,0.297,0.294,0.16,0.389,0.64,0.583,0.528,0.553,0.337,0.531,0.207,0.353
"700",0.558,0.691,0.31,0.674,0.579,0.562,0.602,0.561,0.556,0.392,0.547,0.469,0.35,0.4,0.328,0.34,0.29,0.44,0.367,0.45,0.255,0,0.525,0.28,0.276,0.33,0.38,0.31,0.28,0.485,0.364,0.303,0.6,0.274,0.31,0.338,0.306,0.309,0.426,0.326,0.311,0.537,0.412,0.486,0.567,0.554,0.514,0.478,0.437,0.787,0.372,0.452,0.418,0.355,0.414,0.337,0.432,0.558,0.622,0.581,0.465,0.386,0.477,0.34,0.361
