"","UBS","P45","01","02","03","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-bo","arm","eth","geo","slav"
"UBS",0,0.591,0.356,0.607,0.2,0.687,0.339,0.624,0.463,0.626,0.642,0.667,0.563,0.598,0.592,0.622,0.615,0.594,0.579,0.617,0.615,0.433,0.578,0.598,0.615,0.59,0.615,0.597,0.493,0.624,0.619,0.256,0.606,0.593,0.626,0.615,0.598,0.643,0.6,0.687,0.603,0.69,0.631,0.654,0.615,0.617,0.682,0.594,0.653,0.54,0.57,0.625,0.573,0.387,0.647,0.538,0.638,0.577
"P45",0.591,0,0.7,0.682,0.773,0.682,0.727,0.409,0.682,0.545,0.409,0.5,0.409,0.762,0.727,0.727,0.409,0.524,0.773,0.727,0.5,0.864,0.727,0.727,0.727,0.727,0.682,0.714,0.727,0.773,0.714,0.789,0.727,0.727,0.727,0.682,0.727,0.714,0.7,0.7,0.8,0.65,0.75,0.714,0.9,0.632,0.6,0.81,0.667,0.762,0.8,0.75,0.438,0.75,0.389,0.762,0.533,0.8
"01",0.356,0.7,0,0.682,0.288,0.756,0.29,0.685,0.366,0.664,0.656,0.727,0.652,0.566,0.677,0.712,0.636,0.677,0.562,0.685,0.705,0.412,0.689,0.721,0.667,0.649,0.689,0.69,0.458,0.685,0.679,0.357,0.694,0.705,0.714,0.693,0.72,0.715,0.669,0.786,0.648,0.727,0.709,0.756,0.67,0.72,0.721,0.584,0.702,0.585,0.67,0.694,0.606,0.363,0.664,0.553,0.659,0.667
"02",0.607,0.682,0.682,0,0.689,0.644,0.583,0.63,0.525,0.559,0.426,0.371,0.436,0.355,0.185,0.143,0.429,0.558,0.399,0.138,0.35,0.468,0.171,0.146,0.221,0.245,0.186,0.127,0.417,0.275,0.129,0.582,0.106,0.129,0.122,0.2,0.144,0.19,0.144,0.617,0.39,0.655,0.563,0.654,0.394,0.592,0.591,0.371,0.419,0.372,0.277,0.19,0.594,0.561,0.537,0.405,0.511,0.227
"03",0.2,0.773,0.288,0.689,0,0.746,0.299,0.624,0.418,0.725,0.672,0.711,0.637,0.588,0.677,0.711,0.674,0.684,0.609,0.707,0.689,0.41,0.689,0.697,0.696,0.664,0.711,0.69,0.47,0.669,0.716,0.155,0.709,0.704,0.713,0.685,0.701,0.667,0.675,0.783,0.656,0.796,0.7,0.746,0.697,0.727,0.818,0.648,0.758,0.627,0.658,0.696,0.615,0.344,0.707,0.598,0.617,0.659
"05",0.687,0.682,0.756,0.644,0.746,0,0.74,0.624,0.716,0.5,0.679,0.659,0.652,0.686,0.646,0.644,0.689,0.534,0.669,0.654,0.57,0.724,0.659,0.674,0.667,0.672,0.644,0.643,0.709,0.684,0.672,0.744,0.654,0.659,0.693,0.662,0.654,0.648,0.642,0.325,0.519,0.286,0.469,0.155,0.537,0.328,0.31,0.547,0.411,0.524,0.588,0.661,0.642,0.667,0.612,0.692,0.613,0.61
"019",0.339,0.727,0.29,0.583,0.299,0.74,0,0.638,0.282,0.602,0.539,0.636,0.576,0.476,0.614,0.598,0.53,0.585,0.424,0.585,0.583,0.295,0.591,0.597,0.576,0.55,0.576,0.567,0.447,0.55,0.588,0.315,0.581,0.591,0.582,0.575,0.605,0.588,0.568,0.796,0.625,0.75,0.646,0.77,0.625,0.721,0.733,0.6,0.694,0.57,0.613,0.611,0.573,0.312,0.575,0.534,0.614,0.537
"032",0.624,0.409,0.685,0.63,0.624,0.624,0.638,0,0.635,0.612,0.537,0.565,0.58,0.714,0.639,0.63,0.536,0.581,0.662,0.64,0.609,0.657,0.623,0.644,0.638,0.635,0.623,0.614,0.672,0.632,0.657,0.636,0.638,0.645,0.655,0.594,0.662,0.627,0.618,0.687,0.642,0.602,0.624,0.664,0.596,0.641,0.69,0.615,0.636,0.622,0.619,0.635,0.453,0.598,0.496,0.613,0.5,0.611
"037",0.463,0.682,0.366,0.525,0.418,0.716,0.282,0.635,0,0.659,0.57,0.576,0.525,0.406,0.575,0.54,0.561,0.606,0.489,0.526,0.547,0.399,0.532,0.529,0.518,0.514,0.532,0.504,0.413,0.54,0.522,0.429,0.542,0.554,0.557,0.56,0.557,0.568,0.524,0.765,0.585,0.735,0.664,0.729,0.648,0.674,0.727,0.573,0.672,0.562,0.542,0.565,0.632,0.402,0.608,0.558,0.613,0.512
"038",0.626,0.545,0.664,0.559,0.725,0.5,0.602,0.612,0.659,0,0.455,0.39,0.441,0.514,0.527,0.507,0.449,0.269,0.567,0.522,0.397,0.563,0.522,0.556,0.478,0.489,0.5,0.5,0.578,0.463,0.496,0.662,0.508,0.529,0.559,0.481,0.516,0.549,0.471,0.532,0.462,0.477,0.542,0.5,0.509,0.476,0.4,0.445,0.472,0.429,0.504,0.491,0.565,0.558,0.453,0.504,0.462,0.427
"f-1",0.642,0.409,0.656,0.426,0.672,0.679,0.539,0.537,0.57,0.455,0,0.36,0.338,0.427,0.45,0.419,0.044,0.425,0.455,0.418,0.434,0.511,0.412,0.421,0.412,0.37,0.39,0.392,0.474,0.366,0.378,0.615,0.391,0.419,0.435,0.389,0.426,0.437,0.339,0.635,0.492,0.593,0.595,0.69,0.505,0.589,0.568,0.481,0.456,0.465,0.431,0.43,0.438,0.579,0.432,0.517,0.372,0.379
"f-13",0.667,0.5,0.727,0.371,0.711,0.659,0.636,0.565,0.576,0.39,0.36,0,0.336,0.355,0.37,0.343,0.371,0.384,0.391,0.355,0.393,0.54,0.314,0.321,0.329,0.374,0.314,0.328,0.475,0.333,0.324,0.664,0.311,0.329,0.348,0.319,0.333,0.365,0.32,0.6,0.456,0.566,0.548,0.638,0.514,0.562,0.511,0.432,0.481,0.419,0.429,0.31,0.573,0.571,0.446,0.463,0.362,0.336
"28",0.563,0.409,0.652,0.436,0.637,0.652,0.576,0.58,0.525,0.441,0.338,0.336,0,0.467,0.467,0.443,0.336,0.384,0.558,0.428,0.421,0.576,0.436,0.423,0.429,0.453,0.421,0.41,0.496,0.449,0.403,0.604,0.409,0.429,0.47,0.4,0.447,0.484,0.368,0.661,0.522,0.593,0.622,0.631,0.661,0.569,0.5,0.492,0.519,0.488,0.479,0.474,0.49,0.571,0.488,0.579,0.383,0.461
"33",0.598,0.762,0.566,0.355,0.588,0.686,0.476,0.714,0.406,0.514,0.427,0.355,0.467,0,0.284,0.299,0.449,0.476,0.314,0.264,0.393,0.321,0.262,0.279,0.327,0.264,0.308,0.277,0.377,0.314,0.271,0.475,0.248,0.28,0.293,0.298,0.273,0.312,0.247,0.612,0.442,0.614,0.573,0.622,0.506,0.582,0.571,0.437,0.464,0.414,0.344,0.191,0.643,0.405,0.533,0.421,0.529,0.268
"157",0.592,0.727,0.677,0.185,0.677,0.646,0.614,0.639,0.575,0.527,0.45,0.37,0.467,0.284,0,0.111,0.407,0.541,0.398,0.09,0.363,0.418,0.111,0.091,0.2,0.2,0.2,0.116,0.343,0.256,0.112,0.574,0.055,0.067,0.109,0.145,0.094,0.19,0.1,0.6,0.382,0.611,0.546,0.632,0.365,0.563,0.557,0.331,0.368,0.315,0.254,0.135,0.568,0.579,0.556,0.414,0.489,0.203
"180",0.622,0.727,0.712,0.143,0.711,0.644,0.598,0.63,0.54,0.507,0.419,0.343,0.443,0.299,0.111,0,0.4,0.543,0.37,0.051,0.314,0.432,0.064,0.073,0.186,0.187,0.143,0.052,0.381,0.217,0.086,0.59,0.038,0.057,0.07,0.126,0.068,0.198,0.08,0.6,0.412,0.611,0.57,0.631,0.367,0.546,0.511,0.379,0.372,0.333,0.269,0.129,0.646,0.551,0.554,0.38,0.521,0.18
"205",0.615,0.409,0.636,0.429,0.674,0.689,0.53,0.536,0.561,0.449,0.044,0.371,0.336,0.449,0.407,0.4,0,0.435,0.464,0.384,0.414,0.511,0.393,0.394,0.414,0.374,0.386,0.381,0.46,0.377,0.367,0.612,0.371,0.4,0.435,0.37,0.424,0.444,0.328,0.626,0.478,0.602,0.578,0.677,0.514,0.577,0.557,0.439,0.457,0.442,0.445,0.457,0.417,0.571,0.455,0.512,0.372,0.391
